Número de leitos para internação pelo SUS por 10.000 habitantes
Sigla,Código,Estado,2016,2017,2018,
AC,12,Acre,14.909704625355,14.6962038568973,15.0136417931624,
AL,27,Alagoas,15.0930275794066,14.8454094069737,14.3060138533262,
AM,13,Amazonas,12.4541254245662,12.1938809220485,12.1360502140488,
AP,16,Amapá,12.5687609160505,11.9524345988032,12.1037644636369,
BA,29,Bahia,15.7773418860928,15.5952808074847,15.6052775819425,
CE,23,Ceará,15.7435323098327,15.3927226982914,15.3495623350718,
DF,53,Distrito Federal,14.3636502453328,14.3875855479212,14.2225866350583,
ES,32,Espírito Santo,14.0969836386058,13.3979867396658,13.0398054436441,
GO,52,Goiás,16.528573389651,15.9167855519854,15.5243148308227,
MA,21,Maranhão,17.718295598668,17.9067557621028,17.7001696030332,
MG,31,Minas Gerais,13.8069307813735,13.3630639625581,13.0879120311582,
MS,50,Mato Grosso do Sul,13.9622574060103,13.4936037367224,12.9744789860444,
MT,51,Mato Grosso,15.2676955480905,15.5552861787226,15.3384749206711,
PA,15,Pará,13.1208055597084,12.8509877867976,12.594217550477,
PB,25,Paraíba,18.0223907116713,17.9402768241137,17.1650365720371,
PE,26,Pernambuco,18.4761331751084,18.0094046473218,17.3850977906266,
PI,22,Piauí,20.2432382034369,20.3297808514199,20.15598193573,
PR,41,Paraná,17.0117406302182,16.9376726854412,16.9322025490141,
RJ,33,Rio de Janeiro,14.537977477191,14.0495748214792,13.3882887838899,
RN,24,Rio Grande do Norte,17.5081065652149,17.4425113893374,17.5296516346125,
RO,11,Rondônia,18.8751532141847,19.0082593894106,18.893780058933,
RR,14,Roraima,15.7234199103746,15.7086651367899,16.4218849005379,
RS,43,Rio Grande do Sul,19.2072737891521,18.8841331585964,18.4248847745942,
SC,42,Santa Catarina,16.3761797961858,15.8994021593809,15.5105777773255,
SE,28,Sergipe,10.7161013893384,10.48466005631,10.3267424773121,
SP,35,São Paulo,12.5757632795398,12.0803203223441,11.8162803218181,
TO,17,Tocantins,14.3493891274151,14.3314794939344,14.8911617946082,
